rank,hall_id,hall_name,total_score
1,1168,문래 규수당,3.0240
2,1054,강서 루이비스,2.8673
3,1275,천안티웨딩홀,2.6265
4,1008,삼성 노블발렌티,2.1848
5,1084,부천 라비에벨 웨딩,2.0082
6,1263,서울 강남 아르베 웨딩,1.7355
7,1154,강서 루이비스컨벤션,1.4620
8,1186,상동 라비에벨 오페라홀,1.3556
9,1130,셀럽앤어셈,1.2758
10,1134,용인 ict밸리컨벤션,1.2625
11,1255,인천 부평 그레이스 파티,1.1712
12,1017,영등포 더컨벤션,1.1396
13,1032,강남 상록아트홀,0.9415
14,1272,더 라움 – 마제스틱볼룸,0.9346
15,1193,인천 부평 그레이스파티,0.8502
16,1148,왕십리 H스퀘어웨딩,0.7659
17,1039,수원 파티움하우스,0.7535
18,1238,반포 jw메리어트반포(반리엇),0.5968
19,1260,이천 빌라드아모르 웨딩홀,0.5190
20,1122,에스칼라디움,0.5182
