hall_id,hall_name,aspect,cross_score,text
1016,삼성 더베일리하우스,bridal_room,1.0000,신부대기실이 넓고 채광이 좋음
1233,수원 리츠호텔,bridal_room,1.0000,신부대기실이 넓고 채광이 좋음
1202,강남 라온제나,bridal_room,0.9998,신부대기실 채광이 좋음
1086,부천 MJ컨벤션,parking_facility,0.9996,주차 공간이 넓고 위치가 편리함
1038,엘타워 그랜드홀,parking_facility,0.9996,주차 공간 넓고 편리함
1269,강서 라로브홀,parking_facility,0.9993,주차장이 넓고 이용이 편리함
1132,서울대학교 이라운지,parking_facility,0.9992,주차장이 넓고 접근성이 좋음
1144,sy컨벤션,bridal_room,0.9992,신부대기실이 넓고 채광이 좋아 편안함
1076,강남 조선팰리스 더 그레이트홀,parking_facility,0.9992,주차장이 넓고 편리하게 이용 가능
1113,인천 그랜드오스티엄/CMCC홀,parking_facility,0.9992,주차장이 넓고 편리하게 이용 가능
1212,신도림 웨스턴베니비스,parking_facility,0.9989,주차공간이 넉넉하고 편리함
1001,신사 더컨벤션 단독홀,parking_facility,0.9988,주차장이 넓어 편리함
1056,강남 브라이튼 하우스,parking_facility,0.9988,주차장이 넓어 편리함
1247,지타워컨벤션,bridal_room,0.9988,신부대기실이 넓고 채광이 좋아 쾌적함
1172,대치 더채플,parking_facility,0.9987,주차 공간이 넉넉하고 편리함
1270,서울 신림 그레이스파티,bridal_room,0.9986,넓고 자연광이 잘 드는 신부대기실
1258,공덕 아펠가모 라로브홀,bridal_room,0.9986,신부대기실이 넓고 조명이 좋음
1200,영등포 더베르g(더베르지),bridal_room,0.9983,자연 채광이 잘 들어오는 신부대기실
1189,다르미앙,bridal_room,0.9981,자연 채광이 풍부한 신부대기실
1259,신라호텔 다이너스티,parking_facility,0.9981,주차 공간이 넓으며 접근성도 좋음
1199,신도림 더세인트,bridal_room,0.9979,신부대기실이 넓고 채광이 좋아 자연광이 들어옴
1199,신도림 더세인트,parking_facility,0.9978,주차공간 넓어 차량 이용에 편리함
1135,광명무역센터컨벤션,bridal_room,0.9976,"넓고 채광 좋은 신부대기실, 대기 공간 마련"
1030,라시따시어터,parking_facility,0.9976,주차 공간이 넉넉하여 편리함
1167,강남 브라이튼하우스,parking_facility,0.9975,주차장 넓고 편리함
1214,JK아트컨벤션 아트리움홀,parking_facility,0.9974,주차공간이 넓어 하객들이 편리하게 이용 가능
1031,인천 그레이스 파티,bridal_room,0.9971,신부대기실이 넓고 자연 채광이 잘 들어옴
1034,기흥 ICT밸리컨벤션,parking_facility,0.9966,주차 공간이 넓고 주차 안내가 잘 되어 있음
1236,엘타워(ELTower) 그랜드홀,parking_facility,0.9966,주차 공간이 넓고 주차 안내가 잘 되어 있음
1269,강서 라로브홀,bridal_room,0.9957,신부대기실이 넓고 편의 시설이 잘 갖춰져 있음
1135,광명무역센터컨벤션,parking_facility,0.9956,주차공간이 충분하여 주차 편리
1252,신도림 더세인트 그랜드볼룸홀,bridal_room,0.9951,촬영하기 좋은 조명이 있는 신부대기실
1148,왕십리 H스퀘어웨딩,bridal_room,0.9945,"신부대기실이 넓고 채광이 좋으며, 프라이빗하게 구성되어 있음"
1193,인천 부평 그레이스파티,parking_facility,0.9928,주차 공간이 넓고 안내가 잘 되어 있음
1060,"인천광역시 미추홀구 주경기장 3,4F 그랜드오스티엄",bridal_room,0.9927,채광이 좋아 사진 촬영에 유리한 신부대기실
1262,지하철역 근처 웨딩여율리,bridal_room,0.9924,신부대기실이 넓고 밝음
1050,안양 더파티움,parking_facility,0.9883,넓고 많은 주차 공간
1193,인천 부평 그레이스파티,parking_facility,0.9883,주차장이 넓고 차량 동선이 편리함
1261,선정릉>더 라움>체임버홀,parking_facility,0.9881,주차공간이 충분하여 편리함
1024,여의도 더파티움 그랜드컨벤션홀,parking_facility,0.9881,주차공간이 충분하여 편리함
1078,부천 세이브존 라비에벨,parking_facility,0.9880,주차장이 넓고 주차 안내 서비스가 잘 되어 있음
